t,RH
0,56.8667
0,56.79956
0,56.77607
0.016666667,56.75542
0.016666667,56.71758
0.033333333,56.70181
0.033333333,56.69723
0.033333333,56.68156
0.05,56.6427
0.05,56.5661
0.066666667,56.55888
0.066666667,56.68879
0.066666667,56.87006
0.083333333,56.84859
0.083333333,56.77108
0.083333333,56.58706
0.1,56.49551
0.1,56.49968
0.116666667,56.60985
0.116666667,56.81503
0.116666667,56.92143
0.133333333,56.98348
0.133333333,56.99742
0.133333333,56.96904
0.15,56.93232
0.15,56.86965
0.166666667,56.92509
0.166666667,56.90841
0.166666667,56.85063
0.183333333,56.83466
0.183333333,56.76986
0.2,56.69977
0.2,56.61727
0.2,56.58899
0.216666667,56.51707
0.216666667,56.52776
0.216666667,56.4775
0.233333333,56.45716
0.233333333,56.41809
0.25,56.3831
0.25,56.33804
0.25,56.33183
0.266666667,56.29714
0.266666667,56.25951
0.266666667,56.24709
0.283333333,56.2003
0.283333333,56.17375
0.3,56.12309
0.3,56.10406
0.3,56.07405
0.316666667,56.07121
0.316666667,56.03143
0.333333333,56.01332
0.333333333,55.96643
0.333333333,55.93103
0.35,55.92757
0.35,55.87885
0.35,55.87407
0.366666667,55.82666
0.366666667,55.76939
0.383333333,55.76277
0.383333333,55.72422
0.383333333,55.70957
0.4,55.69035
0.4,55.61476
0.4,55.56543
0.416666667,55.55241
0.416666667,55.49839
0.433333333,55.48516
0.433333333,55.45292
0.433333333,55.40714
0.45,55.38171
0.45,55.33156
0.45,55.31467
0.466666667,55.26727
0.466666667,55.23573
0.483333333,55.20766
0.483333333,55.19901
0.483333333,55.15252
0.5,55.10593
0.5,55.07267
0.516666667,55.05354
0.516666667,55.00838
0.516666667,54.96952
0.533333333,54.94673
0.533333333,54.92292
0.533333333,54.88335
0.55,54.8449
0.55,54.8337
0.566666667,54.78793
0.566666667,54.76036
0.566666667,54.73055
0.583333333,54.68346
0.583333333,54.63697
0.583333333,54.58743
0.6,54.55141
0.6,54.53036
0.616666667,54.52242
0.616666667,54.47359
0.616666667,54.43769
0.633333333,54.39974
0.633333333,54.39059
0.65,54.36465
0.65,54.3145
0.65,54.303
0.666666667,54.2792
0.666666667,54.19649
0.666666667,54.19751
0.683333333,54.15713
0.683333333,54.14115
0.7,54.15874
0.7,54.09853
0.7,54.06862
0.716666667,54.04837
0.716666667,54.01714
0.716666667,53.99629
0.733333333,53.95957
0.733333333,53.9267
0.75,53.9261
0.75,53.89212
0.75,53.81317
0.766666667,53.80869
0.766666667,53.78845
0.783333333,53.78062
0.783333333,53.73382
0.783333333,53.71663
0.8,53.69303
0.8,53.68062
0.8,53.65
0.816666667,53.61755
0.816666667,53.56679
0.833333333,53.59538
0.833333333,53.52681
0.833333333,53.52223
0.85,53.49517
0.85,53.43658
0.85,53.4436
0.866666667,53.41298
0.866666667,53.36751
0.883333333,53.34431
0.883333333,53.34584
0.883333333,53.34167
0.9,53.27077
0.9,53.24025
0.916666667,53.25724
0.916666667,53.21513
0.916666667,53.17342
0.933333333,53.15876
0.933333333,53.1607
0.933333333,53.10811
0.95,53.11268
0.95,53.09213
0.966666667,53.05581
0.966666667,53.06079
0.966666667,53.01024
0.983333333,52.99854
0.983333333,52.98125
0.983333333,52.97555
1,52.94005
1,52.9197
1.016666667,52.92489
1.016666667,52.88969
1.016666667,52.89539
1.033333333,52.84015
1.033333333,52.82347
1.05,52.80964
1.05,52.79946
1.05,52.78115
1.066666667,52.7604
1.066666667,52.72541
1.066666667,52.75206
1.083333333,52.72439
1.083333333,52.67353
1.1,52.68909
1.1,52.68085
1.1,52.65623
1.116666667,52.64423
1.116666667,52.59601
1.116666667,52.60374
1.133333333,52.60975
1.133333333,52.58564
1.15,52.57495
1.15,52.55817
1.15,52.55146
1.166666667,52.53376
1.166666667,52.49347
1.183333333,52.49419
1.183333333,52.49408
1.183333333,52.4776
1.2,52.44759
1.2,52.45929
1.2,52.43681
1.216666667,52.39806
1.216666667,52.36937
1.233333333,52.36255
1.233333333,52.32552
1.233333333,52.32756
1.25,52.28148
1.25,52.31098
1.25,52.2886
1.266666667,52.26469
1.266666667,52.23316
1.283333333,52.27558
1.283333333,52.23774
1.283333333,52.23244
1.3,52.19715
1.3,52.2121
1.316666667,52.16968
1.316666667,52.16785
1.316666667,52.1768
1.333333333,52.16856
1.333333333,52.1001
1.333333333,52.1535
1.35,52.10946
1.35,52.11983
1.366666667,52.11414
1.366666667,52.09237
1.366666667,52.08555
1.383333333,52.05798
1.383333333,52.06185
1.383333333,52.02472
1.4,52.03835
1.4,52.04659
1.416666667,52.04323
1.416666667,52.02269
1.416666667,51.99023
1.433333333,52.01923
1.433333333,52.00417
1.45,52.00193
1.45,51.94181
1.45,51.97976
1.466666667,51.97589
1.466666667,51.96552
1.466666667,51.96236
1.483333333,51.94548
1.483333333,51.92727
1.5,51.92228
1.5,51.90397
1.5,51.89268
1.516666667,51.88759
1.516666667,51.85291
1.516666667,51.85952
1.533333333,51.85545
1.533333333,51.85535
1.55,51.81526
1.55,51.77579
1.55,51.83113
1.566666667,51.79014
1.566666667,51.79024
1.583333333,51.79868
1.583333333,51.76817
1.583333333,51.77681
1.6,51.76023
1.6,51.76786
1.6,51.7408
1.616666667,51.7348
1.616666667,51.72503
1.633333333,51.74569
1.633333333,51.73592
1.633333333,51.70845
1.65,51.71181
1.65,51.6992
1.65,51.73795
1.666666667,51.66837
1.666666667,51.68913
1.683333333,51.68251
1.683333333,51.66847
1.683333333,51.67702
1.7,51.6584
1.7,51.65789
1.716666667,51.64721
1.716666667,51.61507
1.716666667,51.63806
1.733333333,51.66898
1.733333333,51.62483
1.733333333,51.60673
1.75,51.62738
1.75,51.60327
1.766666667,51.61314
1.766666667,51.60856
1.766666667,51.58089
1.783333333,51.60001
1.783333333,51.57865
1.783333333,51.55698
1.8,51.52118
1.8,51.56095
1.816666667,51.55159
1.816666667,51.52758
1.816666667,51.53338
1.833333333,51.52575
1.833333333,51.53318
1.85,51.50795
1.85,51.47346
1.85,51.49127
1.866666667,51.5051
1.866666667,51.47499
1.866666667,51.48903
1.883333333,51.46492
1.883333333,51.46624
1.9,51.46472
1.9,51.45841
1.9,51.46492
1.916666667,51.46777
1.916666667,51.45485
1.933333333,51.42698
1.933333333,51.41284
1.933333333,51.4107
1.95,51.40938
1.95,51.44926
1.966666667,51.41131
1.966666667,51.43217
1.966666667,51.38639
1.983333333,51.4282
1.983333333,51.40216
1.983333333,51.38008
2,51.40938
2,51.35913
2.016666667,51.36228
2.016666667,51.33054
2.016666667,51.34773
2.033333333,51.35954
2.033333333,51.39555
2.033333333,51.3693
2.05,51.32342
2.05,51.33482
2.066666667,51.32607
2.066666667,51.34611
2.066666667,51.36696
2.083333333,51.31874
2.083333333,51.32922
2.083333333,51.30043
2.1,51.30003
2.1,51.30735
2.116666667,51.29636
2.116666667,51.30267
2.116666667,51.287
2.133333333,51.281
2.133333333,51.25018
2.15,51.26076
2.15,51.25038
2.15,51.26625
2.166666667,51.21966
2.166666667,51.24926
2.166666667,51.25404
2.183333333,51.23817
2.183333333,51.20247
2.2,51.19566
2.2,51.22729
2.2,51.25415
2.216666667,51.22617
2.216666667,51.20338
2.216666667,51.2041
2.233333333,51.22261
2.233333333,51.20145
2.25,51.19891
2.25,51.23919
2.25,51.18344
2.266666667,51.18233
2.266666667,51.19067
2.283333333,51.19362
2.283333333,51.1629
2.283333333,51.1627
2.3,51.16951
2.3,51.15303
2.3,51.17663
2.316666667,51.16259
2.316666667,51.14672
2.333333333,51.15934
2.333333333,51.1747
2.333333333,51.15191
2.35,51.13767
2.35,51.11956
2.35,51.12068
2.366666667,51.116
2.366666667,51.12791
2.383333333,51.08965
2.383333333,51.10644
2.383333333,51.13268
2.4,51.15863
2.4,51.10583
2.416666667,51.10349
2.416666667,51.13451
2.416666667,51.09443
2.433333333,51.11224
2.433333333,51.10512
2.433333333,51.08884
2.45,51.05527
2.45,51.07297
2.466666667,51.09393
2.466666667,51.04937
2.466666667,51.03991
2.483333333,51.06208
2.483333333,51.03269
2.5,51.05354
2.5,51.07093
2.5,51.07195
2.516666667,51.02933
2.516666667,51.01844
2.516666667,51.0573
2.533333333,51.03472
2.533333333,51.01295
2.55,51.00603
2.55,51.01102
2.55,51.00176
2.566666667,51.02079
2.566666667,51.01061
2.566666667,51.00797
2.583333333,51.00298
2.583333333,50.99698
2.6,50.98568
2.6,50.99495
2.6,50.98701
2.616666667,50.97135
2.616666667,50.98121
2.633333333,50.99586
2.633333333,50.99444
2.633333333,50.97735
2.65,50.95049
2.65,50.97236
2.65,50.94866
2.666666667,50.95568
2.666666667,50.96504
2.683333333,50.94164
2.683333333,50.94561
2.683333333,50.97063
2.7,50.95782
2.7,50.96127
2.716666667,50.95243
2.716666667,50.96006
2.716666667,50.96789
2.733333333,50.93981
2.733333333,50.93106
2.733333333,50.95548
2.75,50.94327
2.75,50.91367
2.766666667,50.89657
2.766666667,50.93605
2.766666667,50.91479
2.783333333,50.91509
2.783333333,50.90909
2.783333333,50.87968
2.8,50.87297
2.8,50.9159
2.816666667,50.90472
2.816666667,50.89077
2.816666667,50.88712
2.833333333,50.86138
2.833333333,50.88192
2.85,50.86097
2.85,50.88111
2.85,50.87337
2.866666667,50.87501
2.866666667,50.86046
2.866666667,50.88019
2.883333333,50.87287
2.883333333,50.84499
2.9,50.85395
2.9,50.84591
2.9,50.85894
2.916666667,50.81316
2.916666667,50.85385
2.916666667,50.85904
2.933333333,50.84866
2.933333333,50.86015
2.95,50.82903
2.95,50.8334
2.95,50.84917
2.966666667,50.83879
2.966666667,50.8278
2.983333333,50.84194
2.983333333,50.80817
2.983333333,50.82109
3,50.83879
3,50.82831
3,50.83381
3.016666667,50.82099
3.016666667,50.80827
3.033333333,50.80512
3.033333333,50.82333
3.033333333,50.82099
3.05,50.78386
3.05,50.80339
3.05,50.82964
3.066666667,50.79322
3.066666667,50.78813
3.083333333,50.79352
3.083333333,50.79586
3.083333333,50.79474
3.1,50.77267
3.1,50.7686
3.116666667,50.75456
3.116666667,50.77135
3.116666667,50.77206
3.133333333,50.786
3.133333333,50.75945
3.133333333,50.75568
3.15,50.73788
3.15,50.75365
3.166666667,50.75619
3.166666667,50.75649
3.166666667,50.75171
3.183333333,50.74764
3.183333333,50.76891
3.183333333,50.74591
3.2,50.73076
3.2,50.7275
3.216666667,50.75548
3.216666667,50.71987
3.216666667,50.72404
3.233333333,50.74968
3.233333333,50.68834
3.25,50.7448
3.25,50.71163
3.25,50.72567
3.266666667,50.71214
3.266666667,50.7039
3.266666667,50.75924
3.283333333,50.70634
3.283333333,50.72506
3.3,50.72506
3.3,50.72475
3.3,50.7336
3.316666667,50.69129
3.316666667,50.70726
3.316666667,50.7271
3.333333333,50.71601
3.333333333,50.7212
3.35,50.72038
3.35,50.692
3.35,50.66067
3.366666667,50.7156
3.366666667,50.67694
3.383333333,50.67379
3.383333333,50.66138
3.383333333,50.68579
3.4,50.68915
3.4,50.68172
3.4,50.65914
3.416666667,50.68834
3.416666667,50.67664
3.433333333,50.68946
3.433333333,50.65426
3.433333333,50.66992
3.45,50.6802
3.45,50.64063
3.466666667,50.67328
3.466666667,50.6389
3.466666667,50.64449
3.483333333,50.65853
3.483333333,50.67257
3.483333333,50.63158
3.5,50.64347
3.5,50.65487
3.516666667,50.65548
3.516666667,50.6447
3.516666667,50.63168
3.533333333,50.6568
3.533333333,50.64124
3.533333333,50.639
3.55,50.63351
3.55,50.6508
3.566666667,50.63788
3.566666667,50.65243
3.566666667,50.64338
3.583333333,50.64734
3.583333333,50.65955
3.6,50.64378
3.6,50.62578
3.6,50.65243
3.616666667,50.61916
3.616666667,50.65009
3.616666667,50.61286
3.633333333,50.61824
3.633333333,50.60238
3.65,50.61916
3.65,50.65477
3.65,50.63544
3.666666667,50.63727
3.666666667,50.60757
3.666666667,50.65212
3.683333333,50.63005
3.683333333,50.61286
3.7,50.60299
3.7,50.61845
3.7,50.63595
3.716666667,50.59139
3.716666667,50.60838
3.716666667,50.61641
3.733333333,50.62639
3.733333333,50.60136
3.75,50.59739
3.75,50.56342
3.75,50.61896
3.766666667,50.58936
3.766666667,50.63259
3.783333333,50.59851
3.783333333,50.60115
3.783333333,50.61621
3.8,50.60452
3.8,50.63961
3.8,50.58275
3.816666667,50.59566
3.816666667,50.56983
3.833333333,50.57848
3.833333333,50.5857
3.833333333,50.59699
3.85,50.59821
3.85,50.58478
3.85,50.60716
3.866666667,50.60533
3.866666667,50.58793
3.883333333,50.57176
3.883333333,50.6156
3.883333333,50.57268
3.9,50.60564
3.9,50.61571
3.916666667,50.54551
3.916666667,50.5857
3.916666667,50.60014
3.933333333,50.60522
3.933333333,50.58234
3.933333333,50.59475
3.95,50.56901
3.95,50.57603
3.966666667,50.55223
3.966666667,50.57959
3.966666667,50.58743
3.983333333,50.55589
3.983333333,50.56098
3.983333333,50.55579
4,50.54704
4,50.54958
4.016666667,50.55589
4.016666667,50.54694
4.016666667,50.51448
4.033333333,50.54694
4.033333333,50.53473
4.05,50.5327
4.05,50.53178
4.05,50.53473
4.066666667,50.55029
4.066666667,50.55334
4.066666667,50.53341
4.083333333,50.55721
4.083333333,50.55854
4.1,50.55192
4.1,50.53046
4.1,50.51255
4.116666667,50.54094
4.116666667,50.53218
4.116666667,50.52211
4.133333333,50.53798
4.133333333,50.52893
4.15,50.53554
4.15,50.53829
4.15,50.5095
4.166666667,50.5331
4.166666667,50.50116
4.183333333,50.52639
4.183333333,50.50991
4.183333333,50.47685
4.2,50.50452
4.2,50.51855
4.2,50.51622
4.216666667,50.53239
4.216666667,50.49495
4.233333333,50.50554
4.233333333,50.51652
4.233333333,50.53503
4.25,50.48143
4.25,50.5154
4.25,50.4917
4.266666667,50.49862
4.266666667,50.46515
4.283333333,50.4622
4.283333333,50.45518
4.283333333,50.44592
4.3,50.46006
4.3,50.45223
4.316666667,50.43677
4.316666667,50.43107
4.316666667,50.44175
4.333333333,50.41541
4.333333333,50.42497
4.333333333,50.40452
4.35,50.41307
4.35,50.40656
4.366666667,50.41957
4.366666667,50.41622
4.366666667,50.41266
4.383333333,50.41551
4.383333333,50.38885
4.383333333,50.39923
4.4,50.41713
4.4,50.41357
4.416666667,50.37665
4.416666667,50.41581
4.416666667,50.38611
4.433333333,50.37604
4.433333333,50.38814
4.45,50.35803
4.45,50.33687
4.45,50.39221
4.466666667,50.37532
4.466666667,50.35773
4.466666667,50.38631
4.483333333,50.35884
4.483333333,50.3796
4.5,50.37339
4.5,50.3913
4.5,50.38153
4.516666667,50.34583
4.516666667,50.35498
4.516666667,50.3797
4.533333333,50.36688
4.533333333,50.36444
4.55,50.36129
4.55,50.35803
4.55,50.37665
4.566666667,50.3327
4.566666667,50.35518
4.583333333,50.35274
4.583333333,50.368
4.583333333,50.33962
4.6,50.33352
4.6,50.31409
4.6,50.33759
4.616666667,50.30941
4.616666667,50.34481
4.633333333,50.32192
4.633333333,50.32996
4.633333333,50.35244
4.65,50.31083
4.65,50.28896
4.666666667,50.29781
4.666666667,50.30483
4.666666667,50.32446
4.683333333,50.31694
4.683333333,50.31002
4.683333333,50.31511
4.7,50.30809
4.7,50.29181
4.716666667,50.32457
4.716666667,50.29496
4.716666667,50.31327
4.733333333,50.303
4.733333333,50.31541
4.75,50.31968
4.75,50.32904
4.75,50.31653
4.766666667,50.29557
4.766666667,50.3384
4.766666667,50.30147
4.783333333,50.3442
4.783333333,50.31643
4.8,50.3266
4.8,50.32792
4.8,50.34552
4.816666667,50.33026
4.816666667,50.34227
4.816666667,50.3681
4.833333333,50.35101
4.833333333,50.36831
4.85,50.36159
4.85,50.34847
4.85,50.40076
4.866666667,50.3738
4.866666667,50.37838
4.883333333,50.40737
4.883333333,50.38082
4.883333333,50.38835
4.9,50.39526
4.9,50.37736
4.9,50.35966
4.916666667,50.37227
4.916666667,50.35651
4.933333333,50.36078
4.933333333,50.39811
4.933333333,50.38346
4.95,50.3796
4.95,50.40706
4.95,50.39679
4.966666667,50.36739
4.966666667,50.41459
4.983333333,50.4091
4.983333333,50.40065
4.983333333,50.42548
5,50.42212
5,50.48437
5,50.48132
